alpha = 0.0010 lambda = 0.0
10000 Network_Average, 0.30667745267841445 0.41597048911257556 0.42033838534397194 0.42245381651759284 0.3838156559911822 0.23514213232320597 0.45062359062738966 0.45458297181147983 0.45949537267105023 0.3665978548517796 0.29339753980812533 0.45838389871975277 0.4476192770780094 0.44986814643793455 0.43144299522740615 0.1849922727097738 0.4611145067372014 0.4640047494449077 0.4694357773607493 0.09883212344584537 0.47906454753562666 0.4679522086113691 0.4562091713857364 0.460206468592428 0.47094424629216847 0.041044249997262215 0.2859862157398034 0.29022766215566514 0.28566207867176185 0.263304875910953 0.15476246115957 0.24786191549524642 0.2305625512524553 0.24024381187454566 0.19614448044391608 0.14441187501354869 0.23192043974673532 0.23466261572367086 0.22711170552129273 0.22024459553174106 0.07975853817330247 0.16363467811799456 0.16294203165822913 0.16328029291956284 0.15387634802486824 0.08035374875926582 
20000 Network_Average, 0.2873316239184529 0.37646620900216465 0.37411843512613957 0.37365653174694113 0.3439285558644308 0.22449210638977024 0.42218490949082305 0.43046133451858604 0.43139207968262727 0.36140159282297296 0.3015120209983593 0.4316060377223584 0.4308293232458603 0.42645064029137536 0.41317603292705046 0.1732109250902392 0.431269061674684 0.43200638518095724 0.434018274394017 0.16222396733420286 0.47924414219230094 0.43483059378135397 0.4341294317131621 0.43171663375566827 0.4383006455061676 0.048013991160631576 0.22505338173358286 0.2411141625303648 0.22971732325139863 0.20459331954953378 0.14878258468833044 0.2222960217656012 0.24306038464787236 0.22169911741200587 0.1844116632454821 0.13656769285588513 0.2127854955502599 0.25107323566431883 0.22865312526357495 0.212338850827802 0.08027135323076454 0.13810444055935123 0.15328611765232106 0.14284887263182497 0.13555772720300802 0.07706834445425255 
30000 Network_Average, 0.27882188987057277 0.3640971704491766 0.3692401913768982 0.3672065007689723 0.3317808329383257 0.22387639713779967 0.410955600546215 0.4230932287537106 0.4294782089634831 0.36019851721996876 0.27157351715947825 0.4370686546015256 0.41557996266672065 0.41662679603016983 0.4060084743642057 0.17950267645587356 0.4274001475445262 0.44083961739954264 0.4393134215414575 0.15869229240576438 0.4535866617029882 0.4459080406841331 0.42964781534092783 0.4252808392860988 0.43412397319396884 0.06801207141933266 0.2009241227969056 0.2058521764118961 0.20865141078500915 0.1914172568775552 0.14315522523500626 0.21158111676789776 0.2048720433571624 0.20803635876440546 0.17810987813655002 0.13796396512005366 0.20452917015538935 0.20288409255507872 0.21339342535860495 0.21786335896471407 0.0924774333676958 0.12723162120280732 0.131746157939035 0.13193924374862728 0.12780332347992918 0.07746205320018597 
40000 Network_Average, 0.26634682234826873 0.3504440090542073 0.3430672730752444 0.34641750558884266 0.32138503923871903 0.19487181221326863 0.3955939113463445 0.4054350421253745 0.41155517264451036 0.3569581997814161 0.2630866422675607 0.42784677222683715 0.40713386934579715 0.4045977238561568 0.37905270475502223 0.1809187876383228 0.40600773889534525 0.4148756776232744 0.42636922767752927 0.16195484819012607 0.4497861907038782 0.44153937724842907 0.41750628746369495 0.41535495168891784 0.4181577211713817 0.051036482082612925 0.19302782867544496 0.1908191441201101 0.19078054894319962 0.18189569677924686 0.1176261516966452 0.20981307115284195 0.1944523723491118 0.1980139288276132 0.17747108572776127 0.1362563129884118 0.16874210819258675 0.19940795080935494 0.19980951581323164 0.19562710699417685 0.08469256811605143 0.11899059337205481 0.124017245189625 0.12361103174288333 0.11987286522355965 0.06972691105536404 
50000 Network_Average, 0.25492105601692916 0.33782410785979755 0.3390493741017048 0.33684891580334453 0.30785704726338703 0.19905034848418202 0.3865811341532164 0.37892745207643785 0.3956320790398451 0.34799324375473006 0.2524304059037673 0.3996364139328166 0.38585789407035903 0.39684762251339484 0.3610218553205847 0.1796226089897627 0.4009789755342307 0.39996583813641035 0.40968805842781725 0.14707862948364778 0.4360641783216453 0.42312059107446176 0.4023805382828853 0.40965305282055575 0.3972601506076931 0.04462260446393457 0.18815769144489097 0.19280120289971084 0.18264637520000454 0.15876159799650047 0.1109628085355481 0.20845004024689134 0.19030178261112432 0.1789652190104556 0.14890204746584876 0.1228289430741455 0.16089509168768137 0.1903352224323784 0.1918151474201486 0.17326570661177146 0.07075964724156128 0.11723130032709171 0.12275520267207221 0.11773431198149843 0.10432693446427478 0.06355812701759962 
60000 Network_Average, 0.24796509147319068 0.3388575122809475 0.3370161266254195 0.3431268644866827 0.30669233332434526 0.17888155547136192 0.36873794379985775 0.37480343089145335 0.3908045540113309 0.3505011042170776 0.2256447784106357 0.3941415860566815 0.37745094712744603 0.3750421832180208 0.3581841752370809 0.17738064157489306 0.3793377713693373 0.39125283014207995 0.4040437655614839 0.12414025458508084 0.4271146458113396 0.41721530079364516 0.3904295540232573 0.38898256693114563 0.3933404832883694 0.03513076366548109 0.18479543232955545 0.18594276922964526 0.17847280165006088 0.1646496563262956 0.10886576542469645 0.17808568432540728 0.1808178654497576 0.175627087898366 0.14889216969587768 0.1312074891232107 0.1480622956658828 0.18174458085174808 0.1803334460020032 0.17842852787459304 0.07411536639112488 0.10829167152619636 0.11607429517498995 0.11382012457021504 0.1075923462717102 0.06435606760779432 
70000 Network_Average, 0.23720793044086447 0.3226123719119884 0.31364879846819105 0.3246392254214297 0.29696389767177067 0.1650524658546626 0.35584874165180347 0.35671385484009216 0.37263980103715016 0.33988267624701396 0.19777122568737418 0.37164710310900395 0.3638403520402467 0.35272741199304836 0.35057926221528496 0.17356142775186545 0.3647631695985465 0.3731055540947209 0.3883596945178203 0.12093224416848694 0.39249660086473726 0.3939857786491985 0.37087100283884084 0.37095561537909366 0.38192022169904155 0.03794160614297157 0.16940498180190766 0.1765279478472327 0.182417854424212 0.1580153731771158 0.10653734036938706 0.1696210977674625 0.18894738128352206 0.1705587220227455 0.14150350192353475 0.1290858898820415 0.13356992407830884 0.17411829057590172 0.1735390907289678 0.18268853460174111 0.07122822471643933 0.10154972724093733 0.11453475147404571 0.11101849564841729 0.10384273962540663 0.06218689679519009 
80000 Network_Average, 0.23041670402196565 0.31227038062959495 0.31408147841094947 0.32436935108276055 0.3014120643884472 0.15837378465189267 0.3549215252972646 0.3495005589522885 0.3597315461618332 0.33895935121354576 0.17581992831978277 0.36585404048010706 0.3455478205000208 0.3513052251825389 0.3358886381455241 0.17654154650801956 0.3614722714531428 0.36102641369530974 0.3740370719938768 0.15129995153792503 0.3814909817627845 0.3828586434264476 0.358897684749383 0.3628889492856655 0.3669244427566921 0.025987093850110655 0.17967541725049432 0.18182137031613294 0.16862056431870584 0.15326464008330762 0.0954155286729399 0.16931212343173588 0.165632759729421 0.15242511432536598 0.13276624784440663 0.11921669642328594 0.13009968785405107 0.1670338029818852 0.15738706091765634 0.161953891715193 0.07194807575568044 0.10292880986449279 0.10980566893536468 0.1023674435480934 0.09772552159090915 0.05789051099342523 
90000 Network_Average, 0.22006358024914854 0.2993535738224104 0.29299723345742723 0.29899062516900693 0.2836393748824918 0.14767255540908394 0.3270878086120619 0.3214852833218929 0.341614422996067 0.326717063031291 0.18673829013810136 0.3512615994205603 0.3236328190643067 0.33065898980835284 0.32356190653301004 0.1695285073758161 0.33170268921039797 0.33663437390804934 0.3533053458258338 0.12940330231131283 0.37379212309436 0.36371684141365235 0.3378168381232967 0.3414654918160228 0.3481969235417247 0.024789122741011513 0.17559605820759594 0.16701106737165122 0.16943391522431792 0.14691287026999764 0.09434299634588589 0.16634935350020322 0.163108397946332 0.15892511467080572 0.13081790795472287 0.13271034836158238 0.12209476672405807 0.1571914297359695 0.16058674800978495 0.16311480746517432 0.06415384827113803 0.09993213176665372 0.10551640504542112 0.1043416220688294 0.0956191773524597 0.05933903989156173 
100000 Network_Average, 0.21020887454820086 0.2717812423182435 0.2737334921677695 0.27707799535515065 0.2622262784413484 0.14637058897092006 0.3079196858884413 0.31059737504455964 0.3240957397522729 0.31782178462386085 0.17260493225117016 0.33650998061940074 0.30687847481614916 0.29874679125134773 0.3041832543198614 0.1689507090322347 0.3131175114460929 0.3192994868721511 0.33383558007977565 0.12056733999779634 0.35139652492119844 0.3428923085210557 0.3103541514412368 0.31652465287878995 0.33310158394858785 0.03771393694229561 0.1640985178009224 0.1740363970619519 0.16219385875386086 0.142826475448215 0.08902314823074843 0.15517770319411672 0.1748801143032916 0.15344461712492208 0.13081103232865546 0.12480200330404172 0.1249172001292921 0.17016606032524226 0.15648247804450405 0.16094670897433166 0.0583343832814551 0.09727734548480689 0.10933976980668751 0.10132400632744719 0.09497702024883821 0.05603911259399688 
