10000 Network_Average, 0.2633793022202865 0.324812228878699 0.34233869679850054 0.35433177459966153 0.31084551821124556 0.21515106014796817 0.4105980995605382 0.43304944718845073 0.390068927323915 0.33755941870716316 0.26022450295003996 0.4044480554046905 0.402898350051206 0.40285920151255705 0.39519694886804635 0.1995460764886408 0.4372810568858307 0.4601455736679672 0.42919491823381317 0.11928704889817089 0.41465844612461294 0.4386576676379728 0.4313693654166895 0.43867651781167766 0.4463638195871592 0.11296375967172467 0.09209797926326313 0.08305177361074365 0.09153297026448244 0.10235738928639643 0.08903822436431243 0.12278149394496322 0.12793757105432926 0.12697800991495256 0.11985254702318948 0.08112638527422524 0.12256253703157431 0.12892267386817824 0.13293466377325372 0.12829250763814318 0.07317888187250916 0.0 0.0 0.0 0.0 0.0 
20000 Network_Average, 0.17484584454562915 0.18061014463379574 0.20453231144383266 0.20349067278782815 0.19067301732276717 0.1779479830705523 0.25161566474022906 0.26757097350064646 0.25585952791810307 0.2540588389106183 0.2374434009713746 0.2547822722293573 0.28343861952743 0.2977391105682583 0.26803630818210505 0.18415719506398645 0.32804813978348285 0.3567980202185621 0.3064524932038025 0.11753238785797442 0.38335901273344514 0.3252679707261159 0.35219337354708824 0.3872506813865148 0.3430002160939742 0.03597044251188034 0.017736576395056606 0.01449093705150228 0.014894859654543659 0.0285260042082071 0.04496690295134164 0.032406643448665784 0.050016117525467745 0.03953808019686956 0.05218358003411133 0.03744091174608973 0.030474448358023473 0.04753792425004027 0.03341955094823333 0.048153071708947524 0.05421939441433951 
30000 Network_Average, 0.12573406503732826 0.10467777081786736 0.12873261618807033 0.13577969289598874 0.15312189026928283 0.13962221555970963 0.15803704003467492 0.16369176783843023 0.19396695593466867 0.18967628395032135 0.19545996886024167 0.14620024575943893 0.188279276357322 0.18426788179477196 0.23611152109634032 0.17245749151731873 0.22652399247675623 0.2548332957407034 0.24037903094617824 0.1011225066426006 0.33815702880873044 0.23113704427962517 0.22069398768268708 0.27532987113853685 0.29300060336199274 0.09441318720983832 0.004284350575957969 0.004536896216747902 0.0072595085322023885 0.013709523562811405 0.025052469248028692 0.00854452424688016 0.017421810403421167 0.019923547758679352 0.02664840672396702 0.024682249113742918 0.009236026954054642 0.018454888528937768 0.016137213087777873 0.029086115704124508 0.038711903673698436 
40000 Network_Average, 0.08321873126100358 0.05292534508402923 0.08304304172904661 0.07378824756380409 0.09823310077967622 0.12236523340512064 0.07940900957045463 0.11460220808013583 0.11538385810149253 0.13885586628061702 0.17276208503211934 0.07363934154677301 0.1216995208972496 0.09815616820405988 0.14304869757797484 0.1524609707278093 0.149871153735178 0.1719956490274418 0.1664989269659996 0.060711308505787716 0.2691460830174786 0.14233121737805257 0.14905822144441766 0.18860416204157562 0.18309571080405926 0.04157771420561042 0.0015981344621838838 0.0021668114455301456 0.002716462079331745 0.010962338215311423 0.02425629742132218 0.0035031957601112463 0.006638741361899449 0.010816843566033553 0.017442687276378224 0.019766955861951867 0.005034492124002885 0.005930058345611443 0.006637152288905813 0.01787911680805887 0.03013712171754624 
50000 Network_Average, 0.06583146515496043 0.037862847292710194 0.05650067212119192 0.06046786173411214 0.08601678520154352 0.11046574369786606 0.058075206430886823 0.06926808259637052 0.09854689767939634 0.1309181542764005 0.1436057274026272 0.049083769817269716 0.09089482326244876 0.06713800387131165 0.12247750800700527 0.15317782968542842 0.10081593045466783 0.12462882390813512 0.13081606321154943 0.04324932651213773 0.2278869253511219 0.10251550062748052 0.10677011399408903 0.125743921595211 0.14908037597722584 0.07422443499949434 8.09461877731093E-4 7.782896943485749E-4 0.0016934325387531995 0.005607027287305873 0.01854498265347839 0.001950191909408106 0.002872260044719017 0.0052945254293710635 0.01046635170012424 0.013305024070758701 0.0018366808397134494 0.0021408649265138957 0.0038727805262315116 0.01323447052780067 0.030620932464477457 
60000 Network_Average, 0.05493909633033248 0.024955122619293748 0.04243749169504366 0.051412566112567275 0.06969950612006942 0.11431039946928398 0.03747185128033005 0.03571343163405241 0.09756880130700665 0.09693828791265871 0.1550998367693101 0.03210112711870647 0.07522899845399994 0.04449153047048744 0.09834856499669055 0.14898129719095615 0.06914261863525661 0.09351246563511845 0.11650530862909222 0.052651814241908186 0.204654173428177 0.07927236771561326 0.08377768831138559 0.0952276981369171 0.13200595533719806 0.06187327287252133 4.277550684540733E-4 9.293628732025442E-4 0.0011573987649905581 0.0047007160178580976 0.015650979664029875 0.0011670402309336254 0.0013731759433739058 0.002464888194420157 0.005557586691099535 0.009968540466760076 0.0010810710325127688 0.001125891017451155 0.002260711687063191 0.008826716961365715 0.027489842506140158 
70000 Network_Average, 0.042410528434579944 0.02155202345964441 0.02814062322236284 0.030803942765287452 0.05608979118433142 0.09477599223679997 0.03388293730025907 0.029410644452600235 0.05678015301424276 0.07973573586714934 0.13517680746040292 0.025282252901414073 0.04701177884274777 0.02789056030073785 0.07823756075924072 0.12377996393991042 0.048980911089157524 0.06490546164643757 0.0780766389595737 0.030785610610266245 0.19751417995205192 0.05429184578780181 0.06494168157720168 0.06572492797785151 0.10110158960810686 0.06862816286480522 2.0550497327533266E-4 4.775071472473541E-4 7.090280661401371E-4 0.0027532789699460433 0.009766062294676749 7.486667285199494E-4 5.800281015822859E-4 0.0013287101964404766 0.004352062014767053 0.005407497825181813 4.542498479149231E-4 5.533519915015553E-4 0.0014839102919147079 0.005418141625072189 0.018681359528631657 
80000 Network_Average, 0.03553186703302683 0.014297554598213105 0.019543454343078123 0.015896067791638366 0.04205751667009112 0.09355575158364482 0.02474939152642303 0.020677314075661635 0.02815625322758429 0.06360967594216548 0.1361392062140055 0.015562736001856342 0.035204006373235466 0.01545922003479576 0.05745032531025687 0.12724611535939206 0.03431692075666421 0.03889551655318251 0.04978014647145974 0.03090934469637312 0.2129296517920877 0.03568710415782003 0.04875298913760157 0.04608833971702776 0.06364410335535287 0.10840699407003493 1.7580902924653038E-4 2.2633492873606645E-4 5.802097376830651E-4 0.0016895291254638634 0.01045977621277267 3.904650775912967E-4 3.6555988146550264E-4 5.205670525692392E-4 0.002524287624369642 0.005737799196082607 2.84917489500919E-4 3.328428854145521E-4 7.823543708751378E-4 0.0038927647061028792 0.01429576424355281 
90000 Network_Average, 0.028842481165621364 0.012122981206840092 0.014365502302705859 0.01135217106680409 0.03474653526994806 0.08753926114086859 0.019918099548160127 0.01083479424190527 0.01943158271199134 0.05224130448995297 0.12259961794236975 0.013678063848926536 0.02755839447808464 0.012509168958119179 0.044717771791241666 0.11757155094735038 0.02306897487341477 0.028597273043229683 0.04109068692264727 0.022149059042576386 0.2026141406805343 0.029191303245778077 0.04012832107590339 0.029952192320969528 0.04497749763896446 0.058096829732188826 1.2710991452714494E-4 2.526475758926545E-4 2.8260272541866423E-4 0.0013100650683614344 0.007611859993994737 2.7212986722862075E-4 1.9439326236119614E-4 2.7302209702128043E-4 0.0016756137581792952 0.004598733577436927 2.006557611640972E-4 2.0931146207734668E-4 4.227920997891218E-4 0.002856542811380317 0.012358688128546954 
100000 Network_Average, 0.02608842652828975 0.010681650441721128 0.010833371892097116 0.008398563191517104 0.029474680429571718 0.0858181968218772 0.017460956612278866 0.008285276906970868 0.01332436235106366 0.03622893868401035 0.11893040868157585 0.011271234156737088 0.020967990485246488 0.010419107924470688 0.04507897383532874 0.12134466073628633 0.016754816202294107 0.02318841525942659 0.030009421673492954 0.009557433047467253 0.17140366665073176 0.020508164646907575 0.03612176375300065 0.023103287862769904 0.04059297341040559 0.09603303847953155 7.630145667578542E-5 1.4915561656556197E-4 1.5393023690579512E-4 0.0013472592607496566 0.0064197951384408515 2.2709633176740907E-4 9.171743943268555E-5 1.4598074197659614E-4 0.0010457802149535546 0.0035510711225210483 1.1430794258266581E-4 1.1602278766985361E-4 2.9894790864990666E-4 0.002443741099216808 0.011564599696700695 
