10000 Network_Average, 0.15510825598224934 0.10926426111039238 0.11927873426476254 0.11782838009031231 0.11935431091667788 0.11166396703888772 0.18052915076408327 0.18443799239818007 0.185642338348067 0.19228523142253928 0.1733249166877461 0.17848613832606808 0.201460595375502 0.1753923945201389 0.17342102611080415 0.15702463379440362 0.20170314516298324 0.1944571604560432 0.20186939111611243 0.0640673925573294 0.2280524166405512 0.19025728215493862 0.2068722693888724 0.19849345579898578 0.1991578308240256 0.07920988174182009 0.20747818222194564 0.2068188238935491 0.20148306557674583 0.18392237893842386 0.158310977977257 0.11642383390835805 0.118522325833256 0.11322824550949655 0.11195949807519272 0.09970117676130089 0.11121092864243587 0.11240600650657155 0.11500100698505648 0.11243144885677885 0.09189804259338102 0.0 0.0 0.0 0.0 0.0 
20000 Network_Average, 0.04759944350322609 0.033463962815902366 0.0320141245744075 0.04486966390903326 0.044233220068646384 0.041673536276589845 0.017013628781057197 0.019462785460614758 0.017521894032105363 0.06272414471019871 0.04312558656957475 0.013238885811436783 0.023554940103272835 0.01988004807599584 0.04475432424225413 0.06350991182110363 0.036120007529704894 0.03967000488476731 0.033836652498696454 0.017170482534731288 0.05265262739456084 0.03127280556122969 0.035888083264431526 0.03748131155414883 0.04381678858048736 0.034707478591983844 0.17561547308920564 0.15906503769505947 0.17346324948717076 0.13018795209681525 0.10762941107645572 0.020467581597195243 0.023570310062635165 0.01956580732674423 0.041965028349043774 0.028474320167015163 0.027018085288618255 0.02622423881964457 0.01894803846269054 0.0348445696045094 0.03328173735930481 
30000 Network_Average, 0.036944663958547876 0.03337076068008737 0.029425167299286965 0.041120565928327975 0.0340580506012113 0.03189730459626829 0.008476977140785403 0.010786062538669927 0.007199097966772752 0.03763705241083896 0.0334784771256439 0.005101545941146281 0.009346788956025854 0.008796083521267197 0.024344722511288525 0.04238691036464949 0.028376257454002005 0.03154697550093741 0.02546487833314888 0.01007214581100429 0.043422447783353975 0.024340481488299287 0.028635910336215986 0.029224647759377848 0.030690301734531494 0.013155971641282538 0.17519778300425345 0.16720638865952467 0.17673910866091644 0.1182911243221479 0.09517142896094456 0.008077284106367308 0.007989863004217708 0.007027243161306078 0.021447477744893733 0.016186590996252075 0.008857864809933783 0.009620099769353976 0.009839027493726131 0.01942963581907829 0.014350052404575502 
40000 Network_Average, 0.035824335830153736 0.03506085239629326 0.03198578040240859 0.04287680836957949 0.0335873455636436 0.027381098287274145 0.004610468606318403 0.007442257910872654 0.004996131740722512 0.02537820404097365 0.025319444703780287 0.004406005623479143 0.0052054817535557825 0.00496378945812387 0.012745284304662825 0.02746760867902385 0.029776184112565083 0.03159050567786586 0.02654795792534195 0.007695954262621999 0.03981280146340424 0.02598402089587 0.03041436960133103 0.031794366383641234 0.03222454514225696 0.010818912896822214 0.18944407791499124 0.17450814171503215 0.18635387113182827 0.13317813210153112 0.10453062469321736 0.006044057214996225 0.00686099742067057 0.0050313992558495895 0.01615316323260007 0.012842746476196596 0.0035672063535730873 0.004083644904177541 0.007029225706794549 0.013450470177230067 0.009809494705028666 
50000 Network_Average, 0.03543964232271381 0.03357969036880557 0.03237995038672659 0.046191197210128605 0.034952721540588254 0.024355346312033004 0.0034562621709601335 0.00432457934615103 0.0030527218809947884 0.025294574896974852 0.021850562144789355 0.002709023414802044 0.0036123635513516383 0.003698309653798313 0.008319332614765376 0.018482846097860366 0.030624427248974535 0.03416735202378362 0.026930347089348904 0.005764525025390733 0.03574712078847467 0.026073320729411948 0.029918548562973133 0.031949114350852986 0.03418006870168127 0.01047107541903424 0.19214527912324655 0.18446131018999742 0.1922630644171755 0.14310049585639237 0.104183810512505 0.0058333000791140005 0.00603792646452653 0.002981397857614252 0.013515071285977827 0.012091548423285466 0.0024817231732220313 0.0026736794931164847 0.006152828486680979 0.011980220564184803 0.005598655450857152 
60000 Network_Average, 0.03428572712433163 0.03202763251625753 0.032335437131139504 0.043210419523382185 0.034114033466986965 0.02355832928836697 0.0028042143985433877 0.002418247990653835 0.0022923611046770306 0.02601343831544253 0.022573343544112494 0.0020441513078702225 0.0021444487145034466 0.0030132149311506715 0.005085408373503915 0.015239158286404889 0.03048030752765226 0.032583380581587204 0.02659982424607642 0.005058153064748734 0.0335310848869494 0.026627807800056545 0.028903623523423023 0.032474059891697084 0.032563831898654576 0.010656675251873788 0.1771596331942897 0.18757842639400035 0.17640469206431122 0.1398442535466793 0.11815697316188134 0.005060604273966918 0.006644622424756885 0.0018680334642024077 0.014107136823651367 0.01360567753498741 0.0017091711633344395 0.0019047865161947648 0.006334223204255006 0.00942414917428074 0.0032741144667586585 
70000 Network_Average, 0.034183933131026786 0.03412869866399245 0.033429633768414145 0.04218001464383186 0.0339359053541811 0.02219376986045196 0.002093385381925501 0.0021732689975848267 0.001333432598656974 0.0207493369061797 0.017293018053802477 9.842575112290705E-4 0.001962224838566229 0.0024608349599900088 0.0038351338576709674 0.009658144439216625 0.03151082110609863 0.03182949334492508 0.02647412163588463 0.004875409260223219 0.03621485555249376 0.026038527641756567 0.029641119313191664 0.0329110066278248 0.03201038550534992 0.0066225933072803665 0.1866675187142806 0.1857222216029847 0.1877955505378843 0.14740567702186638 0.11643171723524111 0.005210738403164513 0.007088188884119525 0.0010934746320941636 0.012447369817292346 0.012160701951984439 9.670297418490828E-4 0.0017962415514004952 0.005872195873409348 0.007797220501673397 0.002362085641104118 
80000 Network_Average, 0.033946364595604406 0.03418592169470241 0.032437729452458736 0.045391024299257635 0.03562052974219676 0.02230591718526379 0.0011914563533369769 0.0015411118494894297 9.61311812712028E-4 0.018302967138101166 0.015582767824849433 9.102331122806083E-4 0.0016152143403968785 0.0015651292774202718 0.002789468560942507 0.008162632392564314 0.030663247898617605 0.033747411597912766 0.026804366354659357 0.0048550928902993135 0.035687169929861214 0.026423489600284903 0.030885845604684003 0.032234856872653976 0.03380410803205032 0.007399966487212716 0.18600529081079764 0.18777605297158356 0.18776533777921614 0.14773367892520722 0.11243762902633544 0.00482081950424373 0.005334250807597372 6.778510918746775E-4 0.011720508624862468 0.011560233366448229 7.888108483671971E-4 0.0017518790291627315 0.005862139495554921 0.006987657506984006 0.0015634737317322205 
90000 Network_Average, 0.03334151731394377 0.036323838514317475 0.03119725175327264 0.039990899102670896 0.03750888626764182 0.02105362760602842 0.0015174290444092333 0.001315017198390271 7.336219958867571E-4 0.020707772294949293 0.017056715457222205 7.292906765351539E-4 0.0018058715413466085 0.0018657389227888176 0.0023338972377941612 0.00651698813583698 0.02954583299419766 0.0302641273264399 0.026573584616738272 0.005163192212834413 0.03728866991423935 0.026400302956004377 0.03226792479940021 0.03122985634257612 0.02965273065778481 0.0038769102622854806 0.1889399810508629 0.17446076903566676 0.17991572326499497 0.14665692754064094 0.11216789542707795 0.005732058139465467 0.0066057491489910575 6.421930856585741E-4 0.013655872193888292 0.013520788812206766 5.388813055361245E-4 0.0020448146996910966 0.005804009944533893 0.009240659312343587 8.143917646009798E-4 
100000 Network_Average, 0.033418448780809684 0.031982697156373065 0.033006461965323634 0.04286325116405817 0.033051651682922255 0.021660791906632997 0.0015001005004515971 0.0011572918344110038 7.1731361003183E-4 0.02111119479721904 0.01734499939199513 6.742318408418369E-4 0.0017152532141229586 0.001692867704554097 0.0022132518733113623 0.005026478890010174 0.0314005202769515 0.03216745938866371 0.026567860542749216 0.004549679753247956 0.03334866227080787 0.02599228299713731 0.028402903852322327 0.03277934306393177 0.03254186745323817 0.0039811557024476175 0.1864180720874375 0.18411025418975077 0.17613958070927294 0.15147401106777147 0.11480943097255342 0.005399787430259624 0.0064035530997180005 4.0220020443049425E-4 0.013650542831981825 0.01352092007327707 4.5818623070795623E-4 0.0019366846797790557 0.005976049519689235 0.008230746334782492 3.5835896721876496E-4 
